id,price
188533,18888.69
188534,79341.28
188535,56178.523
188536,28611.082
188537,31498.012
188538,16806.404
188539,12469.47
188540,42652.29
188541,85091.47
188542,32366.574
188543,30077.738
188544,14186.813
188545,46459.297
188546,113370.766
188547,17445.68
188548,103965.82
188549,23005.979
188550,10793.209
188551,87904.695
188552,59112.312
188553,70029.65
188554,22708.545
188555,44561.91
188556,23521.895
188557,23594.83
188558,88570.58
188559,31505.438
188560,13325.104
188561,80525.36
188562,24778.389
188563,93657.94
188564,56991.766
188565,49016.688
188566,32904.043
188567,15500.404
188568,48233.207
188569,22762.818
188570,17033.23
188571,36598.85
188572,93962.375
188573,23718.41
188574,35274.746
188575,42244.91
188576,34650.56
188577,12154.462
188578,32254.586
188579,41697.797
188580,43966.02
188581,89025.375
188582,23971.916
188583,103088.14
188584,32648.502
188585,37878.316
188586,29883.83
188587,60618.36
188588,26266.582
188589,18888.857
188590,21002.283
188591,27853.69
188592,37028.984
188593,32878.082
188594,73162.14
188595,26484.986
188596,51860.31
188597,29418.496
188598,28141.162
188599,15422.086
188600,52652.504
188601,54562.887
188602,36969.184
188603,137858.0
188604,12590.911
188605,38950.74
188606,37001.21
188607,61754.863
188608,16966.33
188609,54252.168
188610,43859.523
188611,21859.14
188612,78173.734
188613,22909.38
188614,18053.686
188615,34473.89
188616,65734.29
188617,46819.996
188618,23146.852
188619,83828.28
188620,20219.916
188621,24027.77
188622,115441.69
188623,56362.293
188624,43402.305
188625,26029.111
188626,16674.76
188627,101816.266
188628,81316.19
188629,25257.285
188630,26133.826
188631,70892.266
188632,51319.47
188633,60316.99
188634,10849.246
188635,29464.346
188636,54078.047
188637,11590.143
188638,35521.62
188639,26181.639
188640,12407.498
188641,26724.473
188642,15220.396
188643,104361.016
188644,101379.3
188645,58636.586
188646,10700.609
188647,35598.246
188648,28373.086
188649,40647.535
188650,95926.11
188651,50041.836
188652,75914.92
188653,76283.09
188654,11045.558
188655,16452.16
188656,29000.723
188657,36879.203
188658,11476.472
188659,56349.55
188660,13187.521
188661,97002.68
188662,13192.023
188663,16777.166
188664,88610.14
188665,131472.77
188666,27779.506
188667,11402.325
188668,15084.579
188669,28335.445
188670,65507.97
188671,22195.95
188672,19462.195
188673,68095.81
188674,15161.529
188675,31856.332
188676,46380.215
188677,10512.375
188678,34482.617
188679,45313.555
188680,58678.195
188681,14631.535
188682,14936.795
188683,11734.453
188684,74045.18
188685,44043.336
188686,99234.68
188687,21775.387
188688,38009.39
188689,12782.449
188690,33650.035
188691,39536.9
188692,30475.518
188693,12949.632
188694,15896.853
188695,19712.22
188696,74259.586
188697,29055.777
188698,15793.132
188699,60102.164
188700,164142.84
188701,32809.746
188702,15932.775
188703,87060.53
188704,50533.305
188705,25679.658
188706,101393.15
188707,14275.812
188708,17986.604
188709,14137.02
188710,23406.602
188711,31754.033
188712,54223.258
188713,35851.945
188714,22967.57
188715,38523.234
188716,66804.79
188717,12511.295
188718,18317.717
188719,35574.61
188720,17256.66
188721,69687.04
188722,66118.18
188723,23834.504
188724,29287.682
188725,12494.928
188726,42031.734
188727,12802.44
188728,54233.1
188729,19230.527
188730,63843.65
188731,69250.32
188732,36267.93
188733,18279.63
188734,15603.033
188735,10216.018
188736,9963.758
188737,91524.13
188738,74772.58
188739,55870.953
188740,77952.164
188741,40654.52
188742,24901.334
188743,32529.78
188744,82474.76
188745,60352.22
188746,35411.586
188747,35869.61
188748,18871.67
188749,56985.496
188750,10414.316
188751,47761.535
188752,105144.14
188753,13615.478
188754,47212.504
188755,62892.402
188756,34885.246
188757,22899.246
188758,12199.465
188759,16616.389
188760,12814.247
188761,37709.207
188762,46979.1
188763,33758.117
188764,15006.141
188765,59679.117
188766,33671.44
188767,11277.968
188768,31692.473
188769,70594.57
188770,44460.418
188771,13610.458
188772,9975.316
188773,39200.348
188774,48595.527
188775,47486.96
188776,16365.963
188777,23812.553
188778,25251.555
188779,65884.05
188780,60298.875
188781,92700.73
188782,17143.596
188783,21819.838
188784,40423.805
188785,32399.7
188786,36815.96
188787,11791.0
188788,16489.72
188789,53852.49
188790,12659.469
188791,10439.457
188792,77920.66
188793,23357.42
188794,14165.121
188795,39616.973
188796,25689.643
188797,94082.25
188798,23347.707
188799,16450.664
188800,51726.68
188801,47707.617
188802,27403.523
188803,88665.36
188804,15515.466
188805,13971.468
188806,89175.02
188807,43877.13
188808,60048.508
188809,32077.443
188810,16197.466
188811,51700.562
188812,19145.527
188813,11238.193
188814,42114.02
188815,15228.362
188816,38112.613
188817,28731.975
188818,37319.1
188819,43980.426
188820,52351.613
188821,31927.621
188822,19382.02
188823,45722.652
188824,11467.5
188825,24602.42
188826,10690.566
188827,36489.316
188828,28657.727
188829,12349.408
188830,47282.996
188831,66556.95
188832,11514.996
188833,26517.29
188834,27906.33
188835,22422.809
188836,29610.305
188837,61891.758
188838,14778.73
188839,15575.484
188840,25919.396
188841,74542.984
188842,13372.714
188843,73202.375
188844,37399.27
188845,22032.807
188846,35431.355
188847,55512.766
188848,11604.783
188849,27435.496
188850,73830.98
188851,126500.125
188852,75298.45
188853,16144.4
188854,20142.008
188855,65129.727
188856,96628.516
188857,90559.12
188858,51465.68
188859,38999.047
188860,9537.995
188861,33093.43
188862,96026.67
188863,25257.984
188864,30137.436
188865,28621.023
188866,47354.867
188867,14116.6875
188868,139338.75
188869,24526.045
188870,12338.674
188871,13475.329
188872,37141.484
188873,44996.375
188874,39940.305
188875,17387.32
188876,26267.09
188877,52343.844
188878,74704.95
188879,101067.734
188880,44553.543
188881,12696.918
188882,33740.137
188883,34626.773
188884,74881.26
188885,37640.977
188886,50900.902
188887,114649.625
188888,146374.31
188889,64812.926
188890,15657.216
188891,35649.098
188892,28795.812
188893,112620.91
188894,11958.205
188895,23046.86
188896,34131.35
188897,18071.969
188898,12724.303
188899,156955.0
188900,10047.042
188901,11131.909
188902,83421.12
188903,66827.82
188904,26084.48
188905,30356.973
188906,71907.77
188907,64924.832
188908,28601.201
188909,33536.184
188910,29993.146
188911,45430.33
188912,31765.176
188913,83872.055
188914,53879.04
188915,50240.367
188916,11373.193
188917,53408.742
188918,12071.742
188919,38942.082
188920,19310.91
188921,51920.594
188922,37002.566
188923,68353.695
188924,55291.85
188925,73681.016
188926,51482.465
188927,10034.974
188928,45334.855
188929,20503.83
188930,13309.89
188931,44754.168
188932,29836.195
188933,70467.94
188934,51449.51
188935,34468.406
188936,34562.594
188937,33200.074
188938,22522.146
